nohup: ignoring input
 35%|███▌      | 35/100 [10:22:43<12:40:20, 701.85s/it]epoch: 34	loss_train: 0.00851	loss_val: 0.00682	obj_accuracy: 1.00000	aff_accuracy: 0.99787
 36%|███▌      | 36/100 [10:34:04<12:21:57, 695.58s/it]epoch: 35	loss_train: 0.00885	loss_val: 0.00570	obj_accuracy: 1.00000	aff_accuracy: 0.99804
 37%|███▋      | 37/100 [10:45:25<12:05:49, 691.26s/it]epoch: 36	loss_train: 0.00823	loss_val: 0.00558	obj_accuracy: 1.00000	aff_accuracy: 0.99827
 38%|███▊      | 38/100 [10:56:47<11:51:13, 688.29s/it]epoch: 37	loss_train: 0.00895	loss_val: 0.00583	obj_accuracy: 1.00000	aff_accuracy: 0.99804
 39%|███▉      | 39/100 [11:08:08<11:37:37, 686.20s/it]epoch: 38	loss_train: 0.00769	loss_val: 0.00599	obj_accuracy: 1.00000	aff_accuracy: 0.99802
 40%|████      | 40/100 [11:19:29<11:24:38, 684.65s/it]epoch: 39	loss_train: 0.00817	loss_val: 0.00555	obj_accuracy: 1.00000	aff_accuracy: 0.99804
 41%|████      | 41/100 [11:30:50<11:12:15, 683.66s/it]epoch: 40	loss_train: 0.00854	loss_val: 0.00611	obj_accuracy: 1.00000	aff_accuracy: 0.99809
 42%|████▏     | 42/100 [11:42:12<11:00:09, 682.93s/it]epoch: 41	loss_train: 0.00790	loss_val: 0.00601	obj_accuracy: 1.00000	aff_accuracy: 0.99777
 43%|████▎     | 43/100 [11:53:33<10:48:23, 682.52s/it]epoch: 42	loss_train: 0.00760	loss_val: 0.00586	obj_accuracy: 1.00000	aff_accuracy: 0.99762
 44%|████▍     | 44/100 [12:04:55<10:36:43, 682.21s/it]epoch: 43	loss_train: 0.00771	loss_val: 0.00570	obj_accuracy: 1.00000	aff_accuracy: 0.99817
 45%|████▌     | 45/100 [12:16:16<10:25:00, 681.83s/it]epoch: 44	loss_train: 0.00750	loss_val: 0.00602	obj_accuracy: 1.00000	aff_accuracy: 0.99797
 46%|████▌     | 46/100 [12:27:37<10:13:31, 681.70s/it]epoch: 45	loss_train: 0.00703	loss_val: 0.00727	obj_accuracy: 1.00000	aff_accuracy: 0.99755
 47%|████▋     | 47/100 [12:38:58<10:02:03, 681.58s/it]epoch: 46	loss_train: 0.00750	loss_val: 0.00505	obj_accuracy: 1.00000	aff_accuracy: 0.99839
 48%|████▊     | 48/100 [12:50:19<9:50:34, 681.44s/it] epoch: 47	loss_train: 0.00731	loss_val: 0.00543	obj_accuracy: 1.00000	aff_accuracy: 0.99812
 49%|████▉     | 49/100 [13:01:41<9:39:10, 681.39s/it]epoch: 48	loss_train: 0.00714	loss_val: 0.00596	obj_accuracy: 1.00000	aff_accuracy: 0.99738
 50%|█████     | 50/100 [13:13:02<9:27:48, 681.36s/it]epoch: 49	loss_train: 0.00744	loss_val: 0.00555	obj_accuracy: 1.00000	aff_accuracy: 0.99792
 51%|█████     | 51/100 [13:24:23<9:16:23, 681.29s/it]epoch: 50	loss_train: 0.00698	loss_val: 0.00602	obj_accuracy: 1.00000	aff_accuracy: 0.99770
 52%|█████▏    | 52/100 [13:35:45<9:05:03, 681.32s/it]epoch: 51	loss_train: 0.00704	loss_val: 0.00548	obj_accuracy: 1.00000	aff_accuracy: 0.99822
 53%|█████▎    | 53/100 [13:47:06<8:53:39, 681.27s/it]epoch: 52	loss_train: 0.00695	loss_val: 0.00539	obj_accuracy: 1.00000	aff_accuracy: 0.99804
 54%|█████▍    | 54/100 [13:58:26<8:42:09, 681.08s/it]epoch: 53	loss_train: 0.00684	loss_val: 0.00558	obj_accuracy: 1.00000	aff_accuracy: 0.99812
 55%|█████▌    | 55/100 [14:09:47<8:30:46, 681.04s/it]epoch: 54	loss_train: 0.00651	loss_val: 0.00582	obj_accuracy: 1.00000	aff_accuracy: 0.99817
 56%|█████▌    | 56/100 [14:21:09<8:19:28, 681.10s/it]epoch: 55	loss_train: 0.00646	loss_val: 0.00530	obj_accuracy: 1.00000	aff_accuracy: 0.99832
 57%|█████▋    | 57/100 [14:32:30<8:08:09, 681.16s/it]epoch: 56	loss_train: 0.00638	loss_val: 0.00966	obj_accuracy: 0.99986	aff_accuracy: 0.99733
 58%|█████▊    | 58/100 [14:43:51<7:56:51, 681.22s/it]epoch: 57	loss_train: 0.00635	loss_val: 0.00529	obj_accuracy: 1.00000	aff_accuracy: 0.99832
 59%|█████▉    | 59/100 [14:55:12<7:45:24, 681.09s/it]epoch: 58	loss_train: 0.00655	loss_val: 0.00537	obj_accuracy: 1.00000	aff_accuracy: 0.99832
 60%|██████    | 60/100 [15:06:33<7:34:03, 681.08s/it]epoch: 59	loss_train: 0.00641	loss_val: 0.00583	obj_accuracy: 1.00000	aff_accuracy: 0.99752
